Subject,Slope,Trial,Muscle,Mean_EMG,percent_stance
2,Flat,5,EDB,16.42491392,80-100
2,Upslope,1,ABDH,51.78599404,0-20
2,Upslope,1,ABDM,11.56295543,0-20
2,Upslope,1,PDIO1,28.79198985,0-20
2,Upslope,1,PDIO3,22.67030849,0-20
2,Upslope,1,FDB,56.07387643,0-20
2,Upslope,1,EDB,17.56057278,0-20
2,Upslope,1,ABDH,43.10486948,20-40
2,Upslope,1,ABDM,7.829168486,20-40
2,Upslope,1,PDIO1,19.24657134,20-40
2,Upslope,1,PDIO3,11.76856759,20-40
2,Upslope,1,FDB,24.19231563,20-40
2,Upslope,1,EDB,26.32985469,20-40
2,Upslope,1,ABDH,69.02560844,40-60
2,Upslope,1,ABDM,9.643383201,40-60
2,Upslope,1,PDIO1,25.52793727,40-60
2,Upslope,1,PDIO3,16.08584777,40-60
